0000_00.00.07.640-00.00.09.050	In 1989, 
0040_00.02.50.235-00.02.51.755	Po tries to reason with Shen,
0040_00.02.51.755-00.02.53.905	but Shen attacks Po
0040_00.02.53.905-00.02.57.475	and inadvertently has a cannon fall upon him, killing him.
0040_00.02.57.475-00.03.01.475	Having defeated Shen, Po returns to the Valley of Peace,
0040_00.03.01.475-00.03.05.415	reunites with Mr. Ping, declaring the goose to be his father.
0040_00.03.05.420-00.03.08.550	However, the film ends showing Po's biological father is still alive
0040_00.03.08.550-00.03.12.820	 in a far-off village
0040_00.03.12.820-00.03.15.280	with other pandas,
0040_00.03.15.280-00.03.16.070	UNMATCHED:  which appears to be the key plot point in the next film, coming out in early 2016.
0041_00.00.27.475-00.00.29.485	In the spirit realm, Grand Master Oogway
0041_00.00.29.485-00.00.33.495	 fights an adversary named Kai.
0041_00.00.33.510-00.00.35.450	Before being defeated, 
0041_00.00.35.450-00.00.37.530	Oogway warns Kai of the Dragon Warrior, Po will stop him.
0041_00.00.37.530-00.00.41.080	Kai defeats Oogway and steals his chi
0041_00.00.41.080-00.00.44.475	as he has done with all the other kung fu masters in the realm.
0041_00.00.44.475-00.00.47.025	Kai returns to the mortal realm
0041_00.00.47.025-00.00.48.620	 to steal the chi or energy from Po.
0041_00.00.48.620-00.00.52.690	Meanwhile, Master Shifu passes the role of teacher to Po.
0041_00.00.52.695-00.00.57.395	In the valley, a panda named Li Shan has arrived
0041_00.00.57.395-00.00.59.370	and it is revealed that he is Po's biological father.
0041_00.00.59.370-00.01.03.200	The valley is attacked by jade zombies or Jombies
0041_00.01.03.200-00.01.05.290	 controlled by Kai
0041_00.01.05.290-00.01.07.040	 and resembling Kung Fu masters.
0041_00.01.07.040-00.01.12.160	It is learned in the past Kai and Oogway traveled to a secret village of pandas
0041_00.01.12.160-00.01.14.870	who healed Oogway using their chi.
0041_00.01.14.870-00.01.18.320	Kai drained the chi from the pandas to increase his power
0041_00.01.18.320-00.01.20.620	and Oogway banished him to the spirit realm.
0041_00.01.20.620-00.01.21.300	UNMATCHED:  To defeat Kai, Po must learn to master chi himself.
0041_00.01.21.310-00.01.23.210	UNMATCHED
0041_00.01.23.217-00.01.26.407	Li offers to teach him
0041_00.01.26.407-00.01.29.670	 by going to the secret panda village.
0041_00.01.29.670-00.01.33.080	Once there, Po is told he must learn how to relax before learning chi.
0041_00.01.33.080-00.01.34.450	Shifu and the Furious Five stay behind.
0041_00.01.34.450-00.01.42.570	Crane and Mantis travel to learn that several villages have been attacked and it is found many kung fu masters are missing.
0041_00.01.42.575-00.01.47.485	Kai arrives at the Jade palace with zombiefied Crane and Mantis
0041_00.01.47.485-00.01.48.915	 and destroys it,
0041_00.01.48.915-00.01.52.790	but not before taking the chi of Monkey, Viper and Shifu.
0041_00.01.52.790-00.01.54.700	Tigress escapes to warn Po.
0041_00.01.54.700-00.01.57.230	Afraid, the pandas prepare to run away.
0041_00.01.57.230-00.02.00.650	Li confesses that he does not know chi and lied so he wouldn't lose his son again.
0041_00.02.00.655-00.02.03.405	Po isolates himself
0041_00.02.03.405-00.02.03.950	UNMATCHED: and trains to confront Kai.
0041_00.02.03.950-00.02.07.290	The villagers decide to stay.
0041_00.02.07.290-00.02.11.730	Po trains them to fight back, using their everyday activities as their assets.
0041_00.02.11.735-00.02.14.365	Kai arrives and sends his Jombies to capture Po,
0041_00.02.14.365-00.02.17.415	but they are held off by the pandas.
0041_00.02.17.420-00.02.20.445	Eventually, Po and Kai engaged in a fight.
0041_00.02.20.445-00.02.22.705	Both get transported to the beyond
0041_00.02.22.705-00.02.25.205	where Kai gains the advantage and begins petrifying Po.
0041_00.02.25.205-00.02.28.495	Using what they have learned from Po,
0041_00.02.28.495-00.02.31.280	his friends and family use their chi to save him.
0041_00.02.31.280-00.02.33.870	Po becomes a master of chi and creates a giant dragon figure to overload Kai, 
0041_00.02.33.870-00.02.36.450	who explodes, killing him, 
0041_00.02.36.450-00.02.41.330	and restoring all the falling masters to normal, as well as transporting them back to the mortal world. 
0041_00.02.41.330-00.02.50.150	Grand Master Oogway appears to Po and reveals that Po was selected as Dragon Warrior because of his ancestry from the ancient pandas.
0041_00.02.50.150-00.02.52.490	He declares Po as his true successor.
0041_00.02.52.490-00.02.56.330	Po wields a mystic green staff to return to the mortal world
0041_00.02.56.330-00.02.58.790	and returns with his friends and family to the valley, 
0041_00.02.58.790-00.03.02.660	where they continue practicing kung fu and their chi.
0042_00.00.28.865-00.00.32.205	The film takes place several years after a nuclear holocaust 
0042_00.00.32.205-00.00.37.165	where we find the world has become a desert wasteland and civilization has collapse.
0042_00.00.37.165-00.00.39.785	We see a survivor named Max Rockatansky, the name sake of the film, 
0042_00.00.39.785-00.00.43.405	who is captured by the War Boys.
0042_00.00.43.405-00.00.46.695	The War Boys are the army of Immorten Joe
0042_00.00.46.695-00.00.49.080	and Max is brought to Joe's Citadel.
0042_00.00.49.080-00.00.51.370	Max is marked as a universal blood donor
0042_00.00.51.370-00.00.56.230	and is given to a sick War Boy named Nux, in order to be used as a blood bag.
0042_00.00.56.230-00.01.01.940	Meanwhile, one of Joe's lieutenants, Imperator Furiosa,
0042_00.01.01.940-00.01.06.480	 is sent to drive an armored semi-truck called the War Rig, to collect gasoline.
0042_00.01.06.480-00.01.10.330	However, she ends up leading the convoy off the path
0042_00.01.10.330-00.01.16.450	and it is revealed that Joe's five wives, beautiful women who were selected for breeding, have escaped with Furiosa, 
0042_00.01.16.450-00.01.24.860	so Joe sends an army after Furiosa, calling for aid from two other organizations, one from Gas Town and the other from the Bullet Farm.
0042_00.01.24.870-00.01.30.655	The War Boy, Nux, also joins the pursuit with Max strapped to his car to continue his blood supply.
0042_00.01.30.655-00.01.34.825	Joe's forces continue pursue Furiosa's War Rig, 
0042_00.01.34.825-00.01.39.115	 and she drives into a sandstorm,
0042_00.01.39.115-00.01.41.220	where she loses most of Joe's forces, except for Nux.
0042_00.01.41.220-00.01.45.330	Nux tries to sacrifice himself to destroy the rig, 
0042_00.01.45.330-00.01.48.040	but fails and the car, which used to be owned by Max, is destroyed.
0042_00.01.48.045-00.01.49.705	Max survives the crash
0042_00.01.49.705-00.01.51.905	and approaches Furiosa and the wives,
0042_00.01.51.905-00.01.55.020	including Angharad, Joe's favorite wife, 
0042_00.01.55.020-00.01.57.040	who is pregnant with Joe's child.
0042_00.01.57.045-00.01.58.015	Max steals the War Rig, 
0042_00.01.58.015-00.02.01.985	 but Furiosa installed a kill switch that only she knows how to activate.
0042_00.02.01.990-00.02.05.040	Max agrees to let Furiosa and the wives accompany him,
0042_00.02.05.040-00.02.07.570	while Nux is left to be picked up by Joe's army.
0042_00.02.07.570-00.02.10.450	They travel through a canyon together, controlled by bikers, 
0042_00.02.10.450-00.02.12.740	and Joe's forces continue to pursue.
0042_00.02.12.745-00.02.15.955	Nux is able to get on board the War Rig
0042_00.02.15.955-00.02.18.785	and Angharad falls off in an attempt to protect Max
0042_00.02.18.785-00.02.22.900	and is killed along with her unborn baby by Joe's own car.
0042_00.02.22.900-00.02.25.220	UNMATCHED
0042_00.02.25.220-00.02.29.870	Furiosa explains to Max that they are headed to the promised land, called the Green Place, that Furiosa remembers from her childhood.
0042_00.02.29.870-00.02.34.870	One of the wives finds Nux injured aboard the War Rig, and tries to console him.
0042_00.02.34.870-00.02.37.370	Furiosa and Max continue to fight off Joe's forces
0042_00.02.37.370-00.02.40.660	 as they travel through swampland
0042_00.02.40.660-00.02.44.035	 and desert, and eventually meet up with a group of female motorcyclists, known as the Vuvalini.
0042_00.02.44.035-00.02.49.565	The Vuvalini reveal that they are actually the former members of the Green Place,
0042_00.02.49.565-00.02.53.050	which has now reverted to the inhospitable swamp that Max and Furiosa had just drove through.
0042_00.02.53.050-00.02.58.490	The group realizes that they have very few options
0042_00.02.58.490-00.03.00.200	and decide to travel back to Joe's Citadel, as it is not defended at the moment, 
0042_00.03.00.200-00.03.02.580	and Joe has a very large supply of water.
0042_00.03.02.580-00.03.06.365	They travel back and encounter Joe's forces once again.
0042_00.03.06.365-00.03.07.955	Furiosa is stabbed, 
0042_00.03.07.955-00.03.12.490	but Furiosa is able to kill Joe by tearing off his breathing mask.
0042_00.03.12.490-00.03.15.280	Nux sacrifices himself by wrecking the War Rig, 
0042_00.03.15.280-00.03.19.235	destroying the canyon and blocking Joe's remaining forces from pursuing.
0042_00.03.19.235-00.03.25.445	Max, Furiosa, the wives and the Vuvalini return to the Citadel in Joe's car
0042_00.03.25.445-00.03.29.080	and Max gives Furiosa his blood so she can survive her stab wound.
0042_00.03.29.080-00.03.32.240	At the Citadel, the citizens rejoice at the sight of Joe's corpse.
0042_00.03.32.240-00.03.36.080	The group is cheered and welcomed by the remaining War Boys
0042_00.03.36.080-00.03.38.530	and Max walks off into the distance.
0043_00.00.31.425-00.00.35.975	The film opens with IMF agent, Trevor Hannah,
0043_00.00.35.975-00.00.38.325	who attempted to intercept a courier working for someone known as Cobalt.
0043_00.00.38.330-00.00.44.820	Trevor, however, is killed by the assissin Sabine Moreau and the briefcase he has is stolen.
0043_00.00.44.820-00.00.46.840	The film then switches to Ethan Hunt,
0043_00.00.46.840-00.00.48.690	who is being broken out of a Moscow jail
0043_00.00.48.690-00.00.50.800	 by Benji Dunn and Jane Carter.
0043_00.00.50.800-00.00.54.815	While escaping, Ethan also frees a Russian source known as Bogdan.
0043_00.00.54.815-00.00.58.355	The IMF team goes to the Kremlin
0043_00.00.58.355-00.01.02.360	 in order to find files about the true identity of Cobalt.
0043_00.01.02.360-00.01.05.990	However, during this mission they're compromised by someone
0043_00.01.05.990-00.01.11.330	and then that same person bombs the Kremlin and Ethan is injured.
0043_00.01.11.340-00.01.20.140	Ethan wakes up in a hospital to a Russian agent, Anatoly Sidorov, arresting Ethan, believing that he is the cause of the Kremlin bombing.
0043_00.01.20.140-00.01.24.110	Ethan escapes and has the IMF secretary extract him.
0043_00.01.24.120-00.01.37.230	The secretary tells him that the Russians believe that the Kremlin bombing was an act of war from the US and the president has issued a Ghost Protocol, disavowing the IMF and Ethan and his team are taking the blame.
0043_00.01.37.230-00.01.41.630	The secretary knows it's not his fault and tells him that there's a nearby cache of IMF supplies.
0043_00.01.41.630-00.01.45.400	Their car is attacked by Russian forces and Ethan escapes.
0043_00.01.45.405-00.01.50.095	His team is already at the cache
0043_00.01.50.095-00.01.53.065	and he is joined by intelligence analyst, William Brandt.
0043_00.01.53.065-00.01.54.815	With IMF being disavowed, 
0043_00.01.54.815-00.01.56.980	Brandt's knowledge and ability to identify important figures is key.
0043_00.01.56.980-00.02.03.640	Brandt identifies Cobalt as Kurt Hendricks, a Russian nuclear strategist, whose goal is to start a nuclear war.
0043_00.02.03.645-00.02.05.955	Hendricks bombed the Kremlin 
0043_00.02.05.955-00.02.07.620	in order to distract from the fact that he was stealing a Russian nuclear launch control device.
0043_00.02.07.620-00.02.10.630	However, he still needs the activation codes
0043_00.02.10.630-00.02.15.130	which he was supposed to get from the courier at the beginning of the film.
0043_00.02.15.135-00.02.18.095	The team travels to Dubai 
0043_00.02.18.095-00.02.19.935	 in order to intercept an exchange between Moreau
0043_00.02.19.935-00.02.22.385	and Hendrick's right-hand man, Wistrom.
0043_00.02.22.390-00.02.25.830	Moreau and Wistrom have never met, so they trick them into different rooms.
0043_00.02.25.835-00.02.28.565	Moreau meets with Ethan and Brandt
0043_00.02.28.565-00.02.30.610	while Wistrom meets with Jane.
0043_00.02.30.610-00.02.35.570	Wistrom also brought an expert with him in order to verify that he's receiving the real launch codes.
0043_00.02.35.575-00.02.39.655	Through some sleight of hand and fancy gadgets, they're able to trick both parties
0043_00.02.39.655-00.02.43.730	and they attempt to follow Wistrom in order to locate Hendricks.
0043_00.02.43.730-00.02.45.710	A fight breaks out between both groups.
0043_00.02.45.715-00.02.46.785	Moreau is killed
0043_00.02.46.785-00.02.54.270	and Wistrom escapes, however, while Wistrom is escaping, it is revealed that Wistrom is really Hendricks in disguise.
0043_00.02.54.270-00.02.57.210	Afterwards, Ethan leaves to go meet with an informant.
0043_00.02.57.220-00.03.06.540	While Ethan is gone, it is revealed by Brandt that Ethan's wife, Julia, who we thought from the beginning of the film was just divorced or separated from Ethan, was actually killed.
0043_00.03.06.540-00.03.14.390	Ethan meets with Bogdan, the man Ethan saved from the Moscow prison and Bogdan's cousin, an arms dealer, 
0043_00.03.14.390-00.03.19.320	who explained that Hendricks still needs to access a military satellite in order to trigger the missiles and that the most likely target will be an Indian telecommunications company.
0043_00.03.19.320-00.03.22.600	The team travels to Mumbai
0043_00.03.22.600-00.03.23.160	UNMATCHED: in order to disable the satellite before Hendricks can fire the missile.
0043_00.03.23.170-00.03.27.370	UNMATCHED
0043_00.03.27.382-00.03.32.272	Hendricks, however, is successful at firing the missile before they can disable the satellite 
0043_00.03.32.272-00.03.37.082	so Ethan decides he must abort the nuclear warhead directly from the panel Hendricks used to fire the missile.
0043_00.03.37.085-00.03.41.535	They break into a fight, Hendricks dies
0043_00.03.41.535-00.03.42.975	and at the last second, Ethan disables the missile 
0043_00.03.42.975-00.03.48.140	before it strikes the city of San Fransisco.
0043_00.03.48.140-00.03.55.500	Sidorov enters right as the missile is aborted, realizes Ethan is really on their side and that he is innocent of the Kremlin bombing.
0043_00.03.55.500-00.03.59.610	The team meets up a few weeks later with Luther and accepts a new mission.
0043_00.03.59.610-00.04.02.640	Ethan reveals to Brandt that Julia is actually alive 
0043_00.04.02.640-00.04.07.940	and the film ends with Julia and Ethan smiling at each other from a distance.
0044_00.00.17.985-00.00.21.985	The film starts out following Jim Phelps, 
0044_00.00.21.985-00.00.24.520	the head of a team known as the Impossible Mission Force, or IMF.
0044_00.00.24.520-00.00.26.370	The team is being used to intercept a man in Prague
0044_00.00.26.370-00.00.31.290	who is trying to steal the IMF non-official cover list, also known as the NOC list, which links code names of agents to their real names.
0044_00.00.31.300-00.00.34.570	UNMATCHED
0044_00.00.34.570-00.00.37.275	This would be highly valuable to those who want to get rid of these agents.
0044_00.00.37.275-00.00.40.865	However, the mission goes wrong, and nearly the entire team is killed, 
0044_00.00.40.865-00.00.43.295	including the team lead, Jim Phelps
0044_00.00.43.295-00.00.46.710	and his wife, Claire.
0044_00.00.46.710-00.00.47.440	All except Ethan Hunt, who does survive.
0044_00.00.47.440-00.00.49.810	Ethan sets up a meeting with the IMF director, Eugene Kittredge.
0044_00.00.49.820-00.01.00.420	Ethan finds out that the whole job was a ruse to try to lure out a mole in the IMF, who has been communicating with an arms dealer named Max, 
0044_00.01.00.420-00.01.03.980	as part of something known as Job 314.
0044_00.01.03.985-00.01.09.595	Kittredge suspects that Ethan is the mole as he is the sole survivor of the mission
0044_00.01.09.595-00.01.12.120	and Ethan realizes he is surrounded by IMF agents.
0044_00.01.12.125-00.01.14.395	Ethan escapes
0044_00.01.14.395-00.01.17.365	and returns back to his safe house.
0044_00.01.17.370-00.01.24.820	There, he discovers that Job 314 is not actually a job, but is referring to the Book of Job from the Bible, which are spelled the same.
0044_00.01.24.820-00.01.27.770	While at the safe house, Claire, Jim Phelps' wife, returns,
0044_00.01.27.770-00.01.33.120	explaining that she ran from the car she was in before it exploded once the mission was aborted.
0044_00.01.33.120-00.01.35.420	Ethan sets up a meeting with the arms dealer, Max,
0044_00.01.35.420-00.01.40.700	who turns out to be an older British woman, 
0044_00.01.40.700-00.01.45.950	and Ethan tells her that he will give her the real NOC list in exchange for 10 million dollars and the indentity of Job, who is the mole in IMF.
0044_00.01.45.955-00.01.53.955	Ethan recruits Luther Stickell, a computer expert, as well as Franz Krieger, a pilot,
0044_00.01.53.955-00.01.57.230	in order to break into the CIA headquarters to steal the real NOC list.
0044_00.01.57.230-00.01.59.710	There's a great deal of security, and they must come in from the ceiling,
0044_00.01.59.710-00.02.03.180	but eventually, they are able to get the list.
0044_00.02.03.185-00.02.07.485	Kittredge finds out that the list has been taken
0044_00.02.07.485-00.02.10.950	and has Ethan's parents arrested on trumped up charges to get Ethan to call him.
0044_00.02.10.950-00.02.14.650	Ethan intentionally lets them track him to London, to bring the IMF to him.
0044_00.02.14.660-00.02.18.830	Ethan runs into Jim Phelps, who we had previously thought was dead.
0044_00.02.18.835-00.02.22.075	Jim tells Ethan that Kittredge is behind the whole attack, which Ethan pretends to agree with,
0044_00.02.22.075-00.02.29.330	but Ethan realizes that Jim is the mole, who is the reason his team is dead, and is really Job.
0044_00.02.29.330-00.02.35.270	They part ways, but Ethan is uncertain if Jim's wife Claire was involved or not.
0044_00.02.35.270-00.02.38.950	Ethan sets up an exchange for the NOC list on a high speed train.
0044_00.02.38.950-00.02.41.920	While Max attempts to verify the list, 
0044_00.02.41.920-00.02.43.980	Ethan takes the 10 million dollars
0044_00.02.43.980-00.02.44.920	and Claire comes to meet him.
0044_00.02.44.925-00.02.47.825	However, Claire reaches the baggage car 
0044_00.02.47.825-00.02.51.185	and meets with her husband, Jim, where she talks about whether they should kill Ethan or not.
0044_00.02.51.190-00.02.55.840	However, Jim is not actually Jim, but Ethan wearing a mask
0044_00.02.55.840-00.02.57.010	in a ploy to test whether Claire is working with Jim.
0044_00.02.57.010-00.03.01.460	The real Jim appears and takes the 10 million dollars from Ethan.
0044_00.03.01.460-00.03.02.130	UNMATCHED: and takes the 10 million dollars from Ethan.
0044_00.03.02.130-00.03.03.730	Ethan puts on glasses with video capabilities
0044_00.03.03.730-00.03.08.720	to relay to the IMFagent aboard the train that Jim is still alive.
0044_00.03.08.720-00.03.08.980	Jim tries to shoot Ethan,
0044_00.03.08.980-00.03.12.410	but Claire ends up taking the bullet.
0044_00.03.12.410-00.03.14.310	Jim climbs to the roof of the train,
0044_00.03.14.310-00.03.19.520	where Krieger, the pilot that Ethan used earlier in the film, is waiting to airlift him off the train.
0044_00.03.19.520-00.03.21.660	They enter into a tunnel,
0044_00.03.21.660-00.03.26.890	and using some explosive gum from earlier in the movie, blows up the helicopter, killing Jim and Krieger.
0044_00.03.26.890-00.03.31.370	Kittredge arrests Max on the train and the NOC list is returned.
0044_00.03.31.370-00.03.36.080	Ethan and Stickell are exonerated, but Ethan resigns from the IMF.
0044_00.03.36.080-00.03.43.980	However, aboard a flight home, a flight attendant uses a coded phrase and offers him a new mission, indicating he probably does take it.
0045_00.00.26.825-00.00.32.415	The film opens with a Russian biochemist, Dr. Vladimir, of Biocyte Pharmaceuticals,
0045_00.00.32.415-00.00.36.540	injecting himself with a new bio-weapon, known as Chimera.
0045_00.00.36.540-00.00.40.450	Chimera is a highly deadly virus that Dr. Vladimir was forced to make by his company.
0045_00.00.40.455-00.00.44.825	Dr. Vladimir plans to take the cure, known as Bellerophon,
0045_00.00.44.825-00.00.46.605	 to the United States aboard a plane, 
0045_00.00.46.605-00.00.48.915	where he is met by a man who is disguised as Ethan Hunt.
0045_00.00.48.915-00.00.50.665	Dr. Vladimir is attacked, 
0045_00.00.50.665-00.00.51.705	the cure is stolen,
0045_00.00.51.705-00.00.56.335	and the plane is crashed, killing Dr. Vladimir and the passengers aboard.
0045_00.00.56.340-00.01.01.490	Dr. Vladimir was able to contact the IMF prior to his death, 
0045_00.01.01.490-00.01.06.120	and they are worried that the former IMF agent, Sean Ambrose, is behind the attack and will release the virus.
0045_00.01.06.130-00.01.09.660	Ethan and his team,
0045_00.01.09.660-00.01.10.950	 consisting of computer expert, Lether Stickell, who is the the first film,
0045_00.01.10.950-00.01.12.700	pilot Billy Baird,
0045_00.01.12.700-00.01.15.870	and a professional thief, Nyah Nordhoff-Hall, 
0045_00.01.15.870-00.01.17.410	who is the ex-girlfriend of Sean.
0045_00.01.17.415-00.01.20.275	The team investigates Sean's headquarters
0045_00.01.20.275-00.01.23.075	and also investigates Sean at a horse race track,
0045_00.01.23.075-00.01.25.035	and are able to steal some information from him
0045_00.01.25.035-00.01.26.035	about the Chimera virus.
0045_00.01.26.035-00.01.28.325	They discover once a person is infected,
0045_00.01.28.325-00.01.30.745	they only have a 20 hour window that the cure, Bellerophon, can be used, 
0045_00.01.30.745-00.01.34.410	and after that, the infected person will die.
0045_00.01.34.410-00.01.43.690	The IMF team then kidnaps John C. McCloy, the CEO of Biocyte Pharmaceuticals, who developed the virus and the cure.
0045_00.01.43.690-00.01.46.080	They find that Sean only has the cure to the virus, but not the virus itself, 
0045_00.01.46.080-00.01.48.980	so the IMF team attempts to break into the Biocyte facilities 
0045_00.01.48.985-00.01.50.910	to destroy the remaining virus,
0045_00.01.50.910-00.01.53.090	however, Sean is there with his men.
0045_00.01.53.095-00.01.54.855	Sean also brought Nyah with him, 
0045_00.01.54.855-00.01.58.290	who he uses to retrieve the virus, knowing that Ethan will not shoot her.
0045_00.01.58.290-00.02.03.490	Nyah, however, injects herself with the last remaining strain of the virus, infecting herself.
0045_00.02.03.490-00.02.10.405	She knows that this will protect her from being killed by Sean, at least until he can find a way to properly use the virus.
0045_00.02.10.405-00.02.15.275	Sean decides to let Nyah out in the streets of Sydney in hopes of triggering a pandemic,
0045_00.02.15.275-00.02.17.655	causing massive demand for the cure, Bellerophon.
0045_00.02.17.660-00.02.29.270	Sean also forces McCloy to sell him enough shares of Biocyte to give Sean the majority control.
0045_00.02.29.270-00.02.30.080	UNMATCHED:  With the incredibly high demand for Bellerophon, Biocyte's stock price will greatly increase, making Sean an obscene amount of money.
0045_00.02.30.085-00.02.32.065	However, Ethan breaks in the meeting
0045_00.02.32.065-00.02.34.450	and steals the samples of Bellerophon.
0045_00.02.34.460-00.02.40.910	Nyah has walked to a cliffside in order to kill herself and keep herself from other people, to prevent them from getting the virus.
0045_00.02.40.910-00.02.43.230	There is a long chase,
0045_00.02.43.230-00.02.46.030	then a showdown between Sean and Ethan,
0045_00.02.46.030-00.02.47.830	but Ethan wins in the end
0045_00.02.47.830-00.02.51.280	and gets the cure to Nyah.
0045_00.02.51.280-00.02.51.685	UNMATCHED:  There is no sign left of the virus, and mission is complete
0045_00.02.51.687-00.02.52.075	UNMATCHED: The IMF clears Nyah's criminal history,  
0045_00.02.52.075-00.02.56.575	and Ethan continues his vacation with her in Sydney.
0046_00.00.33.730-00.00.38.360	The film opens with Katniss being in District 13, the headquarters of the Rebellion led by President Coin.
0046_00.00.38.380-00.00.46.880	Coin explains to Katniss that her role in the Rebellion will be to be a symbol of the uprising, and will be known as the Mockingjay.
0046_00.00.46.880-00.00.49.550	At first she does not want to be a symbol,
0046_00.00.49.550-00.00.53.530	but when she sees her home district and how it was destroyed by the Capitol, she decides to become a symbol.
0046_00.00.53.530-00.00.57.760	She is constantly filmed
0046_00.00.57.760-00.01.00.800	so that everything can be used as footage for propaganda
0046_00.01.00.800-00.01.04.810	and use that footage to splay over hack TV channels across all of Panem.
0046_00.01.04.810-00.01.07.820	However, in exchange for being the Rebellion's Mockingjay,
0046_00.01.07.820-00.01.12.490	she demands that the Rebels get Peeta back, who was captured by the Capitol
0046_00.01.12.500-00.01.16.320	and is being used and abused by the Capitol to make their own counter-propaganda.
0046_00.01.16.320-00.01.19.700	Katniss is fitted with a specially designed outfit,
0046_00.01.19.700-00.01.22.000	given her own camera crew,
0046_00.01.22.000-00.01.23.950	Effie Trinket as her stylist,
0046_00.01.23.950-00.01.27.070	and Gale as her bodyguard.
0046_00.01.27.070-00.01.29.010	Katniss travels to various districts,
0046_00.01.29.010-00.01.30.410	sometimes fighting,
0046_00.01.30.410-00.01.32.210	sometimes just visiting the wreckage,
0046_00.01.32.210-00.01.36.090	but all the actions are filmed and used for propaganda.
0046_00.01.36.090-00.01.38.300	In a live counter-propaganda speech from Peeta,
0046_00.01.38.300-00.01.43.450	he warns District 13 that they're about to be attacked, which obviously he wasn't supposed to say,
0046_00.01.43.450-00.01.46.720	and is beaten and maybe possibly killed.
0046_00.01.46.720-00.01.49.850	District 13 has enough time to prepare for the attack,
0046_00.01.49.850-00.01.53.230	and after the attack is over they send out a team to rescue Peeta.
0046_00.01.53.230-00.01.56.270	Peeta is rescued.
0046_00.01.56.270-00.01.57.650	However, when Katniss goes to meet him,
0046_00.01.57.650-00.02.02.700	Peeta tries to kill Katniss and it is found that he is been "hijacked" or brainwashed using venom from tracker checkers.
0046_00.02.02.700-00.02.07.120	So Peeta is kept in isolation,
0046_00.02.07.120-00.02.11.630	and the Rebellion plans to move forward with their war, and thus concluding the film.
0047_00.00.30.020-00.00.35.860	The film opens with an organization, known as the Federation, imposing a blockade
0047_00.00.35.860-00.00.38.630	on a planet known as Naboo due to taxation on trade routes.
0047_00.00.38.630-00.00.43.200	The Galactic Republic, the government of most of the central planets in the galaxy,
0047_00.00.43.200-00.00.50.340	 dispatches two Jedi Knights, Master Qui-Gon Jinn and his apprentice, Obi-Wan Kenobi, to investigate the matter.
0047_00.00.50.350-00.00.57.350	The short explanation of who the Jedis are is they are warriors that use weapons called lightsabers
0047_00.00.57.350-00.01.00.890	and have special powers which they harness through something called The Force.
0047_00.01.00.890-00.01.05.390	The Jedis are viewed as the good guys throughout the films.
0047_00.01.05.390-00.01.10.730	The Trade Federation is working under the direction of Darth Sidious, a Sith Lord.
0047_00.01.10.730-00.01.17.130	The Siths are kind of the evil opposite of the Jedi, more of the dark side of The Force.
0047_00.01.17.130-00.01.19.710	The Jedi arrive
0047_00.01.19.710-00.01.22.060	 to negotiate with Viceroy Gunray, the leader of the Federation.
0047_00.01.22.065-00.01.26.345	However, the Viceroy is ordered to kill the Jedi 
0047_00.01.26.345-00.01.29.345	and invade the planet of Naboo with a droid army.
0047_00.01.29.345-00.01.32.525	The Jedi escape, hiding aboard one of the droid landing ships
0047_00.01.32.525-00.01.35.425	and arrive on the planet Naboo.
0047_00.01.35.425-00.01.38.465	The Jedi meet the Gungan Jar Jar Binks,
0047_00.01.38.465-00.01.41.520	who takes them to the secret underwater Gungan City.
0047_00.01.41.520-00.01.46.220	The leader of the Gungans is unwilling to help the surface civilization of Naboo from the droid invasion,
0047_00.01.46.220-00.01.51.035	but does give the Jedi transport to the Naboo capital city.
0047_00.01.51.035-00.01.56.075	The Jedi then rescue Queen Amidala, the Democratic leader of the Naboo people, 
0047_00.01.56.075-00.01.57.375	and escape Naboo,
0047_00.01.57.375-00.02.00.310	though their ship is severely damaged.
0047_00.02.00.310-00.02.04.820	The damaged ship lands on the desert planet of Tatooine in order to repair its hyperdrive.
0047_00.02.04.825-00.02.08.475	Qui-Gon, Jar Jar,
0047_00.02.08.475-00.02.10.755	a droid named R2D2, 
0047_00.02.10.755-00.02.12.965	and Queen Amidala's handmaiden, Padme,
0047_00.02.12.965-00.02.18.505	all go to the city of Mos Espa to find the parts that are needed.
0047_00.02.18.505-00.02.22.335	They find a shop owned by an alien named Watto,
0047_00.02.22.335-00.02.25.805	and his slave, a nine year old boy named Anakin Skywalker.
0047_00.02.25.810-00.02.27.280	Anakin is a skilled engineer,
0047_00.02.27.280-00.02.30.910	having built a robot assisted droid named C-3PO.
0047_00.02.30.910-00.02.36.520	Anakin is also a talented pod racer, a type of dangerous high-speed racing.
0047_00.02.36.520-00.02.47.060	Qui-Gon can tell that Anakin has an extremely strong tie to The Force and appears to be the chosen one that the Jedi prophecy foretells of, the one that should bring balance to The Force.
0047_00.02.47.060-00.02.50.290	Qui-Gon tries to use his money that they have in order to buy their parts, 
0047_00.02.50.290-00.02.54.030	but Watto is not interested in their foreign currency.
0047_00.02.54.035-00.02.56.770	Through a series of events, Qui-Gon makes a bet with Watto,
0047_00.02.56.770-00.03.02.340	that if Anakin wins the next big pod race, that they will get all the parts that they need and Anakin will also be freed.
0047_00.03.02.345-00.03.06.015	Qui-Gon also tries to barter for Anakin's mother, 
0047_00.03.06.015-00.03.09.625	Shmi, but is unsuccessful.
0047_00.03.09.625-00.03.12.145	Anakin wins the race
0047_00.03.12.145-00.03.12.405	UNMATCHED:  and they get the hyperdrive they need.
